,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro
Best ensemble (search),0.950870297585626,0.9528181265456162,0.9323200162572174,0.9416412230017108,0.9975158997257553
HistGradientBoosting,0.9444132509825941,0.9343519560568788,0.9267217733218887,0.9303137765805244,0.996459043721417
Random Forest,0.9418865805727119,0.9445796288195211,0.9161073356200445,0.928476692472579,0.9963608386227681
SVM-RBF,0.9278495227400337,0.9257355968943147,0.887169389740936,0.9026421434315861,0.9926560619383306
KNN,0.925042111173498,0.9068027714438314,0.8931534555471404,0.899330920620452,0.9834830714951838
Voting ensemble,0.9331836047164515,0.9430469839518009,0.8748649119289641,0.8969534126983882,0.9962510214796082
Decision Tree,0.8702975856260527,0.7951436191809149,0.7995102119641959,0.7967962396804398,0.9492408772171347
LDA,0.8770353733857383,0.8142113218472968,0.779744764820208,0.788177348205107,0.9864108622426115
Logistic Regression,0.8907916900617631,0.8361270342118399,0.7791357591749598,0.783246577337459,0.9896067501290885
Gaussian NB,0.8492419988770353,0.7634646365584796,0.785500735543813,0.7666680401899687,0.9815272788819488
